Executed File,File Last Modified,File Created On,File Size,File Attributes,Product Name,Product Version,File Description,File Version,Company Name,Last Executed On
C:\PROGRAM FILES (X86)\PRIVACY-I\PIMngCtr.exe,2022-05-19 오전 12:57:08,2022-05-19 오전 12:57:08,"7,181,528",A,Privacy-i,6.0.11010.20220519,Privacy-i(Stable),6.0.11010.371,Somansa,2022-08-26 오전 4:25:31
C:\PROGRAM FILES (X86)\PRIVACY-I\PIUpdate.exe,2022-04-14 오전 6:17:14,2022-04-14 오전 6:17:14,"417,952",A,Privacy-i,6.0.10618.20220316,Privacy-i(Stable),6.0.10618.40,somansa,2022-08-24 오전 6:47:26
C:\Program Files (x86)\Privacy-i\uninstall.exe,2022-07-07 오전 9:44:50,2022-07-07 오전 9:44:50,"1,621,484",A,Privacy-i Agent v6.0,6.0.0.373,K뱅크_PC방화벽사용  2022-07-07,6.0.0.373,SOMANSA,
C:\Program Files (x86)\Pulse Secure\Pulse\PulseUninstall.exe,,,,,,,,,,
C:\PROGRAM FILES (X86)\SAFERZONE\SAFERZONE5\SZMSGRELAYALERT.EXE,2020-06-23 오전 12:26:30,2022-06-08 오전 7:21:20,"765,096",A,SaferZone V5 x86 PC Version,10.0.40219.1,SZMsgRelayAlert2,2019.8.27.96,SaferZone,2022-08-23 오후 11:52:39
C:\Program Files (x86)\SaferZone\SaferZone5\UsrAuth.exe,2020-09-03 오전 1:14:56,2022-06-08 오전 7:21:21,"894,224",A,SaferZone V5 x86 PC Version,5.5.0.0,SaferZone Regist,2020.9.3.81,SaferZone,2022-08-24 오전 5:37:38
C:\PROGRAM FILES (X86)\Tanium\TANIUM CLIENT\python27\TPython.exe,2022-06-08 오전 6:58:35,2022-06-08 오전 6:58:35,"185,160",A,Tanium Python,7.2.314.3636,Tanium python package runner,7.2.314.3636,Tanium Inc.,2022-08-26 오전 7:43:16
C:\PROGRAM FILES (X86)\Tanium\TANIUM CLIENT\python38\TPython.exe,2022-06-08 오전 6:55:08,2022-06-08 오전 6:55:08,"264,520",A,Tanium Python,7.4.4.1147,Tanium python package runner,7.4.4.1147,Tanium Inc.,2022-08-26 오전 7:42:03
C:\PROGRAM FILES (X86)\Tanium\TANIUM CLIENT\TANIUMCLIENT.EXE,2018-10-30 오후 4:58:26,2018-10-30 오후 4:58:26,"4,938,736",A,Tanium Client,7.2.314.3476,Tanium Client,7.2.314.3476,Tanium Inc.,2022-08-26 오전 7:56:34
C:\PROGRAM FILES (X86)\Tanium\TANIUM CLIENT\TaniumCX.exe,2022-06-08 오전 7:00:42,2022-06-08 오전 6:52:58,"3,651,992",A,Tanium Client Extension Coordinator,2.4.1544.0,Tanium Client Extension Coordinator,2.4.1544.0,Tanium Inc.,2022-08-26 오전 7:50:34
C:\PROGRAM FILES (X86)\Tanium\TANIUM CLIENT\Tools\EPI\TANIUMENDPOINTINDEX.EXE,2022-06-08 오전 6:59:51,2022-06-08 오전 6:59:51,"12,459,848",A,Tanium Index,2.5.14.0002,Tanium Index,2.5.14.0002,Tanium Inc.,2022-08-26 오전 7:50:40
C:\Program Files (x86)\VMware\VMware Player\vmplayer.exe,,,,,,,,,,
C:\PROGRAM FILES (X86)\VMWARE\VMWARE PLAYER\VNETLIB64.EXE,,,,,,,,,,2022-07-01 오전 9:05:15
C:\Program Files (x86)\Windows Media Player\wmplayer.exe,2022-03-03 오전 8:53:28,2022-03-03 오전 8:53:28,"166,912",A,Microsoft® Windows® Operating System,12.0.19041.1826,Windows Media Player,12.0.19041.1826 (WinBuild.160101.0800),Microsoft Corporation,
C:\Program Files\Android\Android Studio\bin\studio64.exe,2022-05-18 오후 1:58:20,2022-05-18 오후 1:58:20,"1,325,408",A,Android Studio,2021.2.0.AI-__BUILD__,Android Studio,2021.2.0.AI-__BUILD__,JetBrains s.r.o.,
C:\Program Files\Bandizip\Bandizip.exe,2022-04-13 오전 5:08:21,2022-06-08 오전 6:43:08,"3,345,896",A,Bandizip,7.25.0.1,Bandizip,7.25.0.1,Bandisoft International Inc.,2022-08-26 오전 1:15:00
C:\Program Files\Bandizip\data\RegDll.x64.exe,2022-04-08 오전 4:12:28,2022-06-08 오전 6:43:08,"201,200",A,,,,,,
C:\PROGRAM FILES\Bandizip\data\web32.exe,2022-04-04 오전 6:33:03,2022-06-08 오전 6:43:08,"269,792",A,web32,1.0.0.1,Web32 web control process,1.0.0.1,Bandisoft.com,2022-08-23 오후 11:48:31
C:\PROGRAM FILES\Bandizip\Updater.exe,2022-04-13 오전 2:22:52,2022-06-08 오전 6:43:08,"961,000",A,Bandizip Updater,7.25.0.1,Bandizip Updater,7.25.0.1,Bandisoft International Inc.,2022-08-26 오전 1:15:01
C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeC2RClient.exe,2020-10-27 오전 7:55:00,2022-06-08 오전 6:34:14,"23,563,192",A,Microsoft Office,16.0.10368.20035,Microsoft Office Click-to-Run Client,16.0.10368.20035,Microsoft Corporation,
C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe,2020-10-27 오전 7:55:04,2022-06-08 오전 6:34:14,"9,482,688",A,Microsoft Office,16.0.10368.20035,Microsoft Office Click-to-Run (SxS),16.0.10368.20035,Microsoft Corporation,
C:\Program Files\DB Browser for SQLite\DB Browser for SQLite.exe,2021-05-02 오전 8:13:26,2021-05-02 오전 8:13:26,"5,577,984",A,DB Browser for SQLite,3.12.2.20210502,DB Browser for SQLite,3.12.2.20210502,DB Browser for SQLite Team,2022-07-19 오전 5:46:29
C:\Program Files\DigiDNA\iMazing\iMazing.exe,2022-06-13 오전 7:34:30,2022-06-28 오전 6:23:56,"4,309,264",A,iMazing,2.15.5.0,iMazing,2.15.5.0,DigiDNA,
C:\program files\dnplayerext2\ldboxheadless.exe,2022-06-14 오전 12:44:47,2022-06-14 오전 12:44:47,"217,592",A,Oracle VM VirtualBox,5.1.4.110228,VirtualBox Headless Frontend,5.1.4.110228,Oracle Corporation,
C:\PROGRAM FILES\FILEZILLA FTP CLIENT\FILEZILLA.EXE,2022-07-22 오후 12:00:40,2022-07-22 오후 12:00:40,"3,828,848",A,FileZilla,"3, 60, 2, 0",FileZilla FTP Client,"3, 60, 2, 0",FileZilla Project,2022-08-24 오전 12:32:19
C:\PROGRAM FILES\Git\cmd\git.exe,2022-07-11 오전 9:32:54,2022-08-11 오전 7:27:16,"45,616",A,Git,2.37.1.windows.1,Git for Windows,,The Git Development Community,2022-08-26 오전 7:49:00
C:\PROGRAM FILES\Git\mingw64\bin\GIT-CREDENTIAL-MANAGER-CORE.EXE,2022-07-11 오전 9:51:56,2022-08-11 오전 7:27:27,"75,688",A,git-credential-manager-core,2.0.785+6074e4e3d3,git-credential-manager-core,2.0.785.29792,git-credential-manager-core,2022-08-26 오전 1:14:37
C:\PROGRAM FILES\Git\mingw64\bin\git.exe,2022-07-11 오전 9:32:54,2022-08-11 오전 7:27:28,"3,592,752",A,Git,2.37.1.windows.1,Git for Windows,,The Git Development Community,2022-08-26 오전 7:49:01
C:\PROGRAM FILES\Git\mingw64\bin\GITHUB.UI.EXE,2022-07-11 오전 9:51:42,2022-08-11 오전 7:27:17,"47,024",A,GitHub.UI,2.0.785+6074e4e3d3,GitHub.UI,2.0.785.29792,GitHub.UI,2022-08-11 오전 7:46:39
C:\Program Files\Google\Chrome\Application\chrome.exe,2022-07-30 오후 5:57:57,2022-06-08 오전 7:16:42,"2,851,656",A,Google Chrome,104.0.5112.82,Google Chrome,104.0.5112.82,Google LLC,2022-08-26 오전 6:33:27
C:\Program Files\HxD\HxD.exe,2021-02-10 오후 1:20:16,2022-06-15 오전 1:48:49,"6,888,960",A,HxD Hex Editor,2.5.0.0,HxD Hex Editor,2.5.0.0,Mael Horz,2022-08-12 오전 7:18:31
C:\Program Files\IDA 7.1\ida.exe,2018-02-27 오전 3:13:48,2022-06-17 오전 6:42:56,"4,018,688",A,The Interactive Disassembler,7.1.18.0227,The Interactive Disassembler,7.1.18.0227,Hex-Rays SA,2022-07-04 오전 4:41:50
C:\Program Files\IDA 7.1\ida64.exe,2018-02-27 오전 3:13:48,2022-06-17 오전 6:42:57,"4,011,008",A,The Interactive Disassembler,7.1.18.0227,The Interactive Disassembler,7.1.18.0227,Hex-Rays SA,2022-07-20 오전 7:18:18
C:\Program Files\Internet Explorer\iexplore.exe,2022-03-03 오전 8:53:18,2022-03-03 오전 8:53:18,"834,512",A,Internet Explorer,11.00.19041.1,Internet Explorer,11.00.19041.1 (WinBuild.160101.0800),Microsoft Corporation,
C:\Program Files\iTunes\iTunes.exe,2022-05-05 오전 8:02:16,2022-05-05 오전 8:02:16,"39,196,744",A,iTunes,12.12.4.1,iTunes,12.12.4.1,Apple Inc.,
C:\program files\java\jdk-11.0.15\bin\javaw.exe,2022-06-14 오전 9:32:31,2022-06-14 오전 9:32:31,"51,408",A,Java(TM) Platform SE 11.0.15,11.0.15.0,Java(TM) Platform SE binary,11.0.15.0,Oracle Corporation,2022-07-04 오전 2:38:25
C:\PROGRAM FILES\Java\JRE1.8.0_321\bin\java.exe,2022-06-13 오전 8:08:15,2022-06-13 오전 8:08:15,"277,216",A,Java(TM) Platform SE 8,8.0.3210.7,Java(TM) Platform SE binary,8.0.3210.7,Oracle Corporation,2022-07-22 오전 6:44:59
C:\Program Files\Java\jre1.8.0_321\bin\javaw.exe,2022-06-13 오전 8:08:15,2022-06-13 오전 8:08:15,"277,216",A,Java(TM) Platform SE 8,8.0.3210.7,Java(TM) Platform SE binary,8.0.3210.7,Oracle Corporation,
C:\Program Files\Microsoft Office\Root\Office16\EXCEL.EXE,2022-06-08 오전 6:34:31,2022-06-08 오전 6:34:15,"53,319,064",A,Microsoft Office,16.0.10368.20035,Microsoft Excel,16.0.10368.20035,Microsoft Corporation,2022-08-26 오전 2:28:16
C:\Program Files\Microsoft Office\Root\Office16\POWERPNT.EXE,2022-06-08 오전 6:34:31,2022-06-08 오전 6:34:31,"1,885,080",A,Microsoft Office,16.0.10368.20035,Microsoft PowerPoint,16.0.10368.20035,Microsoft Corporation,2022-08-26 오전 12:20:57
C:\Program Files\Microsoft Office\root\Office16\Winword.exe,2022-06-08 오전 6:34:26,2022-06-08 오전 6:34:26,"1,960,344",A,Microsoft Office,16.0.10368.20035,Microsoft Word,16.0.10368.20035,Microsoft Corporation,2022-07-20 오전 7:49:48
C:\Program Files\Notepad++\notepad++.exe,2022-01-19 오후 5:45:46,2022-01-19 오후 5:45:46,"6,062,504",A,Notepad++,8.21,Notepad++ : a free (GPL) source code editor,8.21,Don HO don.h@free.fr,2022-08-24 오전 3:03:54
C:\PROGRAM FILES\NOTEPAD++\updater\GUP.exe,2022-01-19 오후 5:46:04,2022-01-19 오후 5:46:04,"968,616",A,WinGup for Notepad++,5.22,WinGup for Notepad++,5.22,Don HO don.h@free.fr,2022-08-11 오전 8:03:57
C:\Program Files\Oracle\VirtualBox\VirtualBox.exe,,,,,,,,,,
C:\program files\unity hub\unity hub.exe,2022-04-13 오후 2:41:54,2022-06-21 오전 1:32:55,"136,088,272",A,Unity Hub,3.1.2.0,Unity Hub,3.1.2,Unity Technologies Inc.,2022-08-11 오전 4:55:05
C:\program files\unity\hub\editor\2019.4.40f1\editor\data\playbackengines\androidplayer\openjdk\bin\java.exe,2022-06-21 오전 1:39:30,2022-06-21 오전 1:39:30,"202,232",A,OpenJDK Platform 8,8.0.0.0,OpenJDK Platform binary,8.0.0.0,N/A,
C:\Program Files\Windows NT\Accessories\WORDPAD.EXE,2022-06-08 오전 6:41:47,2022-06-08 오전 6:41:47,"3,059,712",A,Microsoft® Windows® Operating System,10.0.19041.1,Windows Wordpad Application,10.0.19041.1 (WinBuild.160101.0800),Microsoft Corporation,
C:\Program Files\WindowsApps\DellInc.DellCommandUpdate_4.5.36.0_x86__htrsf667h5kn2\DCU.Classic\DellCommandUpdate.exe,2022-06-08 오전 6:37:09,2022-06-08 오전 6:37:08,"2,300,176",A,Dell Command | Update,4.5.0.36,DCU.Classic,4.5.0.36,,2022-08-26 오전 7:39:12
C:\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSSTORE_22206.1401.6.0_X64__8WEKYB3D8BBWE\WINSTORE.APP.EXE,2022-08-11 오후 1:40:34,2022-08-11 오후 1:40:26,"20,992",A,Windows Store,0.0.0.0,Store,0.0.0.0,Microsoft Corporation,2022-08-26 오전 1:33:01
C:\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.XBOXGAMINGOVERLAY_5.722.5052.0_X64__8WEKYB3D8BBWE\GAMEBAR.EXE,,,,,,,,,,2022-07-15 오전 7:51:35
C:\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.XBOXGAMINGOVERLAY_5.822.6271.0_X64__8WEKYB3D8BBWE\GameBar.exe,2022-07-20 오전 9:36:23,2022-07-20 오전 9:36:19,"28,257,280",A,Xbox Game Bar,5.822.06271.0,Xbox Game Bar,5.822.06271.0,Microsoft Corporation,2022-08-24 오전 2:15:02
C:\Program Files\WindowsApps\Microsoft.YourPhone_1.22052.554.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe,,,,,,,,,,
C:\Program Files\WindowsApps\Microsoft.YourPhone_1.22062.534.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe,,,,,,,,,,
C:\Program Files\WindowsApps\Microsoft.YourPhone_1.22062.536.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe,2022-08-17 오후 7:27:24,2022-08-17 오후 7:27:22,"496,552",A,Microsoft Your Phone,1.22062.536.0,PhoneExperienceHost,1.22062.536.0,Microsoft Corporation,
C:\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.ZUNEVIDEO_10.22041.10091.0_X64__8WEKYB3D8BBWE\VIDEO.UI.EXE,2022-06-13 오전 6:39:07,2022-06-13 오전 6:39:04,"21,577,216",A,,,,,,2022-08-08 오전 12:59:12
C:\PROGRAM FILES\WINDOWSAPPS\NVIDIACORP.NVIDIACONTROLPANEL_8.1.962.0_X64__56JYBVY8SCKQJ\nvcplui.exe,2022-06-08 오전 6:37:43,2022-06-08 오전 6:37:41,"14,119,632",A,NVIDIA Control Panel,8.1.940.0,"NVIDIA Control Panel Application, 8.1.940.0",8.1.940.0,NVIDIA Corporation,2022-08-08 오전 5:03:39
C:\Program Files\WinRAR\WinRAR.exe,2022-03-03 오후 2:19:13,2022-06-28 오전 6:43:39,"2,459,288",A,WinRAR,6.11.0,WinRAR archiver,6.11.0,Alexander Roshal,2022-08-26 오전 2:28:12
C:\Program Files\Wireshark\Wireshark.exe,2022-06-15 오후 5:16:30,2022-06-15 오후 5:16:30,"8,751,584",A,Wireshark,3.6.6,Wireshark,3.6.6,"The Wireshark developer community, https://www.wireshark.org/",
C:\Program Files\WorksMobile\NCS Drive\ODrive.exe,2022-05-25 오전 3:02:18,2022-05-25 오전 3:02:18,"6,617,008",A,WEDrive Module,3.4.4.0042,WEDrive Module,3.4.4.0042,Works Mobile,
C:\Program Files\WorksMobile\NCS Drive\ODriveThumbnail.exe,2022-05-25 오전 3:03:06,2022-05-25 오전 3:03:06,"5,317,552",A,WEDriveThumbnail Module,1.2.2.174,WEDriveThumbnail Module,1.2.2.174,Works Mobile,
C:\PROGRAM FILES\WORKSMOBILE\NCS DRIVE\ODSync.exe,2022-05-25 오전 3:02:52,2022-05-25 오전 3:02:52,"4,095,408",A,ODrive ODSync,1.2.2.184,ODrive ODSync,1.2.2.184,Works Mobile,2022-07-01 오전 5:01:57
C:\PROGRAM FILES\WORKSMOBILE\NCS DRIVE\WMWEBENGINE.EXE,2022-05-20 오전 6:33:28,2022-05-20 오전 6:33:28,"1,410,888",A,,,,,,2022-08-23 오후 10:30:44
C:\python27-x64\python.exe,2016-12-17 오전 11:55:02,2016-12-17 오전 11:55:02,"28,160",A,,,,,,
C:\Users\AD01713091\AppData\Local\Android\Sdk\build-tools\33.0.0\zipalign.exe,2022-06-13 오전 8:19:06,2022-06-13 오전 8:19:06,"836,496",A,,,,,,
C:\users\ad01713091\appdata\local\android\sdk\platform-tools\adb.exe,2022-06-13 오전 8:20:35,2022-06-13 오전 8:20:35,"5,989,376",A,,,,,,
C:\Users\AD01713091\AppData\Local\Kakao\KakaoTalk\KakaoUpdate.exe,2022-07-01 오전 5:53:15,2022-07-01 오전 5:53:15,"785,488",A,KakaoUpdate,1.1.0.72,KakaoUpdate,1.1.0.72,Kakao Corp.,2022-07-01 오전 5:53:18
C:\Users\AD01713091\AppData\Local\LINE\bin\current\LINELAUNCHER.EXE,2022-08-24 오전 11:09:22,2022-08-24 오전 11:09:22,"1,806,504",A,LINE,1.0.0.22,LINE,1.0.0.22,LINE Corporation,2022-08-24 오후 11:08:07
C:\Users\AD01713091\AppData\Local\LINE\bin\LineLauncher.exe,2022-08-24 오전 11:09:22,2022-06-08 오전 6:44:03,"1,806,504",A,LINE,1.0.0.22,LINE,1.0.0.22,LINE Corporation,2022-08-24 오전 6:11:35
C:\Users\AD01713091\AppData\Local\Microsoft\OneDrive\19.043.0304.0013\FileSyncConfig.exe,,,,,,,,,,
C:\Users\AD01713091\AppData\Local\Microsoft\OneDrive\21.220.1024.0005\FileSyncConfig.exe,,,,,,,,,,
C:\Users\AD01713091\AppData\Local\Microsoft\OneDrive\22.099.0508.0001\FileSyncConfig.exe,,,,,,,,,,
C:\Users\AD01713091\AppData\Local\Microsoft\OneDrive\22.111.0522.0002\FileSyncConfig.exe,,,,,,,,,,
C:\Users\AD01713091\AppData\Local\Microsoft\OneDrive\22.121.0605.0002\FileSyncConfig.exe,,,,,,,,,,
C:\Users\AD01713091\AppData\Local\Microsoft\OneDrive\22.131.0619.0001\FileSyncConfig.exe,,,,,,,,,,
C:\Users\AD01713091\AppData\Local\Microsoft\OneDrive\22.141.0703.0002\FileSyncConfig.exe,,,,,,,,,,
C:\Users\AD01713091\AppData\Local\Microsoft\OneDrive\22.151.0717.0001\FileSyncConfig.exe,,,,,,,,,,
C:\Users\AD01713091\AppData\Local\Microsoft\OneDrive\22.156.0724.0002\FileSyncConfig.exe,2022-08-23 오후 4:42:43,2022-08-23 오후 4:42:43,"766,336",A,Microsoft OneDrive,22.156.0724.0002,Microsoft OneDrive Configuration Application,22.156.0724.0002,Microsoft Corporation,
C:\Users\AD01713091\AppData\Local\Microsoft\OneDrive\StandaloneUpdater\OneDriveSetup.exe,,,,,,,,,,
C:\users\ad01713091\appdata\local\programs\burpsuitecommunity\burpsuitecommunity.exe,2022-08-04 오후 2:12:22,2022-06-13 오전 9:06:17,"505,864",A,Burp Suite Community Edition,2022.8.1,Burp Suite Community Edition,2022.8.1,PortSwigger Web Security,2022-08-17 오전 12:58:02
C:\Users\AD01713091\AppData\Local\Programs\Fiddler\Fiddler.exe,2021-12-15 오전 7:15:42,2021-12-15 오전 7:15:42,"1,562,368",A,Fiddler,5.0.20211.51073,Fiddler,5.0.20211.51073,Progress Software Corporation,
C:\Users\AD01713091\AppData\Local\Programs\Microsoft VS Code\Code.exe,2022-07-06 오후 8:56:12,2022-07-07 오후 6:05:51,"138,479,520",A,Visual Studio Code,1.69.0,Visual Studio Code,1.69.0,Microsoft Corporation,2022-08-26 오전 4:27:42
C:\Users\AD01713091\AppData\Local\Programs\Python\Python39\python.exe,2022-01-17 오전 6:30:36,2022-01-17 오전 6:30:36,"102,288",A,Python,3.9.10,Python,3.9.10,Python Software Foundation,2022-08-26 오전 7:50:45
C:\Users\AD01713091\AppData\Local\Temp\is-680RM.tmp\CODESETUP-STABLE-E4503B30FC78200F846C62CF8091B76FF5547662.TMP,2022-08-26 오전 1:44:02,2022-08-26 오전 1:44:02,"2,629,024",A,Visual Studio Code,1.70.2,Setup/Uninstall,51.1052.0.0,Microsoft Corporation,2022-08-26 오전 1:44:02
C:\USERS\AD01713091\APPDATA\LOCAL\TEMP\IS-9TKC0.TMP\GIT-2.37.1-64-BIT.TMP,,,,,,,,,,2022-08-11 오전 7:27:03
C:\Users\AD01713091\AppData\Local\Temp\is-BKF5B.tmp\CODESETUP-STABLE-DA76F93349A72022CA4670C1B84860304616AAA2.TMP,2022-08-08 오전 1:37:27,2022-08-08 오전 1:37:27,"2,629,016",,Visual Studio Code,1.70.0,Setup/Uninstall,51.1052.0.0,Microsoft Corporation,2022-08-08 오전 1:37:27
C:\Users\AD01713091\AppData\Local\Temp\is-BPMKL.tmp\CODESETUP-STABLE-3B889B090B5AD5793F524B5D1D39FDA662B96A2A.TMP,2022-07-21 오전 12:33:02,2022-07-21 오전 12:33:02,"2,629,024",,Visual Studio Code,1.69.2,Setup/Uninstall,51.1052.0.0,Microsoft Corporation,2022-07-21 오전 12:33:02
C:\USERS\AD01713091\APPDATA\LOCAL\TEMP\IS-K1O55.TMP\GIT-2.37.1-64-BIT.TMP,,,,,,,,,,2022-08-11 오전 7:27:06
C:\USERS\AD01713091\APPDATA\LOCAL\TEMP\IS-NJFBK.TMP\CODESETUP-STABLE-DA76F93349A72022CA4670C1B84860304616AAA2.TMP,,,,,,,,,,2022-08-08 오전 3:40:16
C:\USERS\AD01713091\APPDATA\LOCAL\TEMP\IS-QNA07.TMP\IMAZING2FORWINDOWS.TMP,,,,,,,,,,2022-06-28 오전 6:23:25
C:\Users\AD01713091\AppData\Local\Temp\IXP000.TMP\dxwsetup.exe,,,,,,,,,,2022-08-08 오전 3:32:44
